"Agency Name","Program Name","Contract Cycle","Funding Strategy","Grant Monitor","Total","Age_Group","Count","New_Age_Group"
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"5",0,"5-6 years old"
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"6",0,"5-6 years old"
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"7",0,"7-10 years old"
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"8",4,"7-10 years old"
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"9",3,"7-10 years old"
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"10",5,"7-10 years old"
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"11",0,"11-13 years old"
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"12",7,"11-13 years old"
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"13",5,"11-13 years old"
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"14",5,"14-17 years old"
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"15",1,"14-17 years old"
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"16",7,"14-17 years old"
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"17",2,"14-17 years old"
"Family Support Services","Kinship Summer Youth Program","Summer 2023","Summer Academic & Enrichment","Terry Hill",47,"18+",8,"18+ years old"
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"5",0,"5-6 years old"
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"6",0,"5-6 years old"
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"7",6,"7-10 years old"
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"8",3,"7-10 years old"
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"9",10,"7-10 years old"
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"10",5,"7-10 years old"
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"11",12,"11-13 years old"
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"12",6,"11-13 years old"
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"13",9,"11-13 years old"
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"14",3,"14-17 years old"
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"15",1,"14-17 years old"
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"16",0,"14-17 years old"
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"17",0,"14-17 years old"
"Girls Inc of Alameda County","Concordia","Summer 2023","Summer Academic & Enrichment","Terry Hill",57,"18+",0,"18+ years old"
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"5",0,"5-6 years old"
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"6",0,"5-6 years old"
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"7",0,"7-10 years old"
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"8",0,"7-10 years old"
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"9",0,"7-10 years old"
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"10",0,"7-10 years old"
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"11",0,"11-13 years old"
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"12",0,"11-13 years old"
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"13",0,"11-13 years old"
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"14",0,"14-17 years old"
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"15",0,"14-17 years old"
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"16",0,"14-17 years old"
"Lao Family Community Development, Inc. (LFCD)","The Oakland Youth on the Move (YOM) Summer Program","Summer 2023","Oakland Summer Youth Employment","Annie Hines",108,"17",24,"14-17 years old"
